 Networks|341|Diana Reyes|no prestado|30/10/97|Excelente recurso para aprender nuevas ideas.
LIBRO|Lost Worlds|7121|Luis Anderson|no prestado|26/07/17|Una guía fascinante para el futuro
REVISTA|Como mejorar en lol|99|manute|no prestado|101|febrero
LIBRO|Astrobiology|1133|Emily Parker|no prestado|21/06/98|Reflexiones profundas sobre la evolución humana
REVISTA|Descubrimientos Genéticos|23|Dr. Antonio Ruiz|no prestado|3455|Enero
LIBRO|AI Revolution|187|Jon Snow|no prestado|24/02/90|Una guía fascinante para el futuro.
LIBRO|Nanotechnology|178|Alex Kim|no prestado|02/02/20|Una guía fascinante para el futuro.
REVISTA|Fauna en Extinción|725|Biól. Andrés González|no prestado|4876|Mayo
LIBRO|Cosmic Frontiers|108|Robert Harrison|no prestado|09/02/91|Reflexiones profundas sobre la evolución humana.
REVISTA|Science|1734|Okami|no prestado|120|Diciembre
LIBRO|Futuristic Medicine|944|Lucía Blanco|no prestado|30/06/03|Perspectivas asombrosas sobre la tecnología.
LIBRO|Alien Civilizations|646|Sophia Morgan|no prestado|21/07/07|Reflexiones profundas sobre la evolución humana.
LIBRO|Deep Learning|893|Nathan Hughes|no prestado|19/06/17|Perspectivas asombrosas sobre la tecnología.
REVISTA|Diseño Urbano Sustentable|6654|Arq. Laura Sánchez|no prestado|2678|Abril
LIBRO|Virtual Realities|568|Sasha Ivanov|no prestado|23/03/93|Un libro intrigante sobre lo desconocido.
REVISTA|Inteligencia Artificial en la Medicina|002|Ing. María López|no prestado|333|Febrero
LIBRO|Machine Learning|835|Gabriel Rose|no prestado|04/09/04|Perspectivas asombrosas sobre la tecnología.
LIBRO|The Quantum Computer|397|James Kepler|no prestado|27/03/13|Perspectivas asombrosas sobre la tecnología.
LIBRO|Biohacking 101|170|Daniel West|no prestado|22/03/09|Una guía fascinante para el futuro.
REVISTA|Civilizaciones Antiguas|2133|Prof. Jaime Pérez|no prestado|7345|Marzo
